replrev,order_id,sess_id,isin_id,amount,amount_rest,id_deal,xstatus,price,price_scale,moment,moment_ns,dir,action,deal_price,deal_price_scale
247497241144,1953465969351327812,6899,3032021,5,5,0,4097,25791.00000,5,2023/10/04 18:58:00.666,1696435080666941967,1,1,0.00000,0
247497241146,1953465969351327813,6899,3032021,1,1,0,4097,23650.00000,5,2023/10/04 18:58:00.667,1696435080667233319,1,1,0.00000,0
247497241150,1953465969351327814,6899,3032021,5,5,0,4097,25775.00000,5,2023/10/04 18:58:00.667,1696435080667862563,1,1,0.00000,0
247497241167,1953465969351327818,6899,3032021,1,1,0,4097,25803.00000,5,2023/10/04 18:58:00.670,1696435080670502223,1,1,0.00000,0
247497241178,1953465969351327821,6899,3032021,2,2,0,4097,23916.00000,5,2023/10/04 18:58:00.672,1696435080672189645,1,1,0.00000,0
247497241185,1953465969351327823,6899,3032021,1,1,0,4097,25830.00000,5,2023/10/04 18:58:00.673,1696435080673244792,1,1,0.00000,0
247497241186,1953465969351327824,6899,3032021,5,5,0,4097,24997.00000,5,2023/10/04 18:58:00.673,1696435080673394078,1,1,0.00000,0
247497241189,1953465969351327825,6899,3032021,5,5,0,4097,25777.00000,5,2023/10/04 18:58:00.673,1696435080673837200,1,1,0.00000,0
247497241193,1953465969351327826,6899,3032021,1,1,0,4097,25868.00000,5,2023/10/04 18:58:00.674,1696435080674638436,1,1,0.00000,0
247497241203,1953465969351327829,6899,3366187,1,1,0,4097,25650.00000,5,2023/10/04 18:58:00.676,1696435080676166755,1,1,0.00000,0
247497241206,1953465969351327830,6899,3032021,1,1,0,4097,25935.00000,5,2023/10/04 18:58:00.676,1696435080676621140,1,1,0.00000,0
247497241209,1953465969351327831,6899,3366187,1,1,0,4097,23725.00000,5,2023/10/04 18:58:00.677,1696435080677074768,1,1,0.00000,0
247497241212,1953465969351327832,6899,3032021,1,1,0,4097,25890.00000,5,2023/10/04 18:58:00.677,1696435080677516251,1,1,0.00000,0
247497241215,1953465969351327833,6899,3032021,5,5,0,4609,26229.00000,5,2023/10/04 18:58:00.677,1696435080677968483,1,1,0.00000,0
247497241218,1953465969351327834,6899,3366187,1,1,0,4097,24555.00000,5,2023/10/04 18:58:00.678,1696435080678499686,1,1,0.00000,0
247497241221,1953465969351327835,6899,3032021,10,10,0,4097,25900.00000,5,2023/10/04 18:58:00.679,1696435080679018054,1,1,0.00000,0
247497241224,1953465969351327836,6899,3032021,1,1,0,4097,25951.00000,5,2023/10/04 18:58:00.679,1696435080679457079,1,1,0.00000,0
247497241230,1953465969351327838,6899,3032021,10,10,0,4097,25985.00000,5,2023/10/04 18:58:00.680,1696435080680444078,1,1,0.00000,0
247497241233,1953465969351327839,6899,3032021,100,100,0,4097,25480.00000,5,2023/10/04 18:58:00.680,1696435080680941952,1,1,0.00000,0
247497241236,1953465969351327840,6899,3032021,100,100,0,4097,26226.00000,5,2023/10/04 18:58:00.681,1696435080681385493,1,1,0.00000,0
247497241241,1953465969351327841,6899,3032021,1,1,0,4097,26151.00000,5,2023/10/04 18:58:00.682,1696435080682162512,1,1,0.00000,0
247497241243,1953465969351327842,6899,3032021,50,50,0,4097,26037.00000,5,2023/10/04 18:58:00.682,1696435080682462108,1,1,0.00000,0
247497241247,1953465969351327843,6899,3032021,1,1,0,4097,26251.00000,5,2023/10/04 18:58:00.683,1696435080683073612,1,1,0.00000,0
247497241253,1953465969351327845,6899,3032021,5,5,0,4097,29200.00000,5,2023/10/04 18:58:00.684,1696435080684013504,2,1,0.00000,0
247497241255,1953465969351327846,6899,3032021,3,3,0,4097,25500.00000,5,2023/10/04 18:58:00.684,1696435080684353522,1,1,0.00000,0
247497241259,1953465969351327847,6899,3032021,10,10,0,4097,26005.00000,5,2023/10/04 18:58:00.685,1696435080685018429,1,1,0.00000,0
247497241261,1953465969351327848,6899,3032021,5,5,0,4097,26115.00000,5,2023/10/04 18:58:00.685,1696435080685315947,1,1,0.00000,0
247497241265,1953465969351327849,6899,3032021,5,5,0,4097,26125.00000,5,2023/10/04 18:58:00.685,1696435080685985793,1,1,0.00000,0
247497241267,1953465969351327850,6899,3032021,5,5,0,4097,26105.00000,5,2023/10/04 18:58:00.686,1696435080686317310,1,1,0.00000,0
247497241271,1953465969351327851,6899,3032021,5,5,0,4097,26085.00000,5,2023/10/04 18:58:00.686,1696435080686962611,1,1,0.00000,0
247497241273,1953465969351327852,6899,3032021,5,5,0,4097,26075.00000,5,2023/10/04 18:58:00.687,1696435080687258814,1,1,0.00000,0
247497241275,1953465969351327853,6899,3032021,10,10,0,4097,26055.00000,5,2023/10/04 18:58:00.687,1696435080687540614,1,1,0.00000,0
247497241279,1953465969351327854,6899,3032021,20,20,0,4097,25945.00000,5,2023/10/04 18:58:00.688,1696435080688171880,1,1,0.00000,0
247497241281,1953465969351327855,6899,3032021,10,10,0,4097,26025.00000,5,2023/10/04 18:58:00.688,1696435080688532583,1,1,0.00000,0
247497241285,1953465969351327856,6899,3032021,1,1,0,4097,26199.00000,5,2023/10/04 18:58:00.689,1696435080689141750,1,1,0.00000,0
247497241287,1953465969351327857,6899,3032021,20,20,0,4097,25935.00000,5,2023/10/04 18:58:00.689,1696435080689459127,1,1,0.00000,0
247497241288,1953465969351327858,6899,3032021,1,1,0,4097,23600.00000,5,2023/10/04 18:58:00.689,1696435080689610333,1,1,0.00000,0
247497241290,1953465969351327859,6899,3032021,5,5,0,4097,26325.00000,5,2023/10/04 18:58:00.689,1696435080689917941,1,1,0.00000,0
247497241294,1953465969351327861,6899,3032021,1,1,0,4097,28015.00000,5,2023/10/04 18:58:00.690,1696435080690536992,2,1,0.00000,0
247497241299,1953465969351327863,6899,3032021,1,1,0,4097,25600.00000,5,2023/10/04 18:58:00.691,1696435080691311433,1,1,0.00000,0
247497241305,1953465969351327866,6899,3032021,5,5,0,4097,26345.00000,5,2023/10/04 18:58:00.692,1696435080692236503,1,1,0.00000,0
247497241311,1953465969351327869,6899,3032021,5,5,0,4097,26238.00000,5,2023/10/04 18:58:00.693,1696435080693166293,1,1,0.00000,0
247497241312,1953465969351327870,6899,3366187,1,1,0,4097,25502.00000,5,2023/10/04 18:58:00.693,1696435080693306563,1,1,0.00000,0
247497241316,1953465969351327871,6899,3032021,1,1,0,4097,26401.00000,5,2023/10/04 18:58:00.693,1696435080693927435,1,1,0.00000,0
247497241318,1953465969351327873,6899,3366187,1,1,0,4097,26012.00000,5,2023/10/04 18:58:00.694,1696435080694262398,1,1,0.00000,0
247497241323,1953465969351327875,6899,3032021,1,1,0,4097,28091.00000,5,2023/10/04 18:58:00.695,1696435080695191452,2,1,0.00000,0
247497241327,1953465969351327876,6899,3032021,1,1,0,4097,25556.00000,5,2023/10/04 18:58:00.695,1696435080695814678,1,1,0.00000,0
247497241337,1953465969351327880,6899,3032021,5,5,0,4097,28000.00000,5,2023/10/04 18:58:00.697,1696435080697441982,2,1,0.00000,0
247497241338,1953465969351327881,6899,3032021,5,5,0,4097,26400.00000,5,2023/10/04 18:58:00.697,1696435080697597081,1,1,0.00000,0
247497241339,1953465969351327882,6899,3032021,100,100,0,4097,28188.00000,5,2023/10/04 18:58:00.697,1696435080697749135,2,1,0.00000,0
247497241343,1953465969351327883,6899,3032021,1,1,0,4097,26386.00000,5,2023/10/04 18:58:00.698,1696435080698397805,1,1,0.00000,0
247497241349,1953465969351327886,6899,3032021,1,1,0,4097,26551.00000,5,2023/10/04 18:58:00.699,1696435080699385531,1,1,0.00000,0
247497241350,1953465969351327887,6899,3032021,38,38,0,4097,24000.00000,5,2023/10/04 18:58:00.699,1696435080699531489,1,1,0.00000,0
247497241351,1953465969351327888,6899,3032021,5,5,0,4097,28300.00000,5,2023/10/04 18:58:00.699,1696435080699684516,2,1,0.00000,0
247497241355,1953465969351327889,6899,3032021,1,1,0,4097,26371.00000,5,2023/10/04 18:58:00.700,1696435080700401897,1,1,0.00000,0
247497241356,1953465969351327890,6899,3032021,1,1,0,4097,26518.00000,5,2023/10/04 18:58:00.700,1696435080700558509,1,1,0.00000,0
247497241357,1953465969351327891,6899,3032021,1,1,0,4097,23813.00000,5,2023/10/04 18:58:00.700,1696435080700719839,1,1,0.00000,0
247497241361,1953465969351327892,6899,3032021,5,5,0,4097,27800.00000,5,2023/10/04 18:58:00.701,1696435080701346934,2,1,0.00000,0
247497241363,1953465969351327894,6899,3366187,1,1,0,4097,28315.00000,5,2023/10/04 18:58:00.701,1696435080701675078,2,1,0.00000,0
247497241366,1953465969351327895,6899,3032021,20,20,0,4097,27700.00000,5,2023/10/04 18:58:00.702,1696435080702125084,2,1,0.00000,0
247497241368,1953465969351327896,6899,3366187,1,1,0,4097,28615.00000,5,2023/10/04 18:58:00.702,1696435080702617130,2,1,0.00000,0
247497241371,1953465969351327897,6899,3032021,1,1,0,4097,27360.00000,5,2023/10/04 18:58:00.703,1696435080703087173,2,1,0.00000,0
247497241373,1953465969351327898,6899,3366187,1,1,0,4097,28715.00000,5,2023/10/04 18:58:00.703,1696435080703386443,2,1,0.00000,0
247497241377,1953465969351327900,6899,3032021,1,1,0,4097,27440.00000,5,2023/10/04 18:58:00.705,1696435080705837920,2,1,0.00000,0
247497241382,1953465969351327902,6899,3032021,19,19,0,4097,30000.00000,5,2023/10/04 18:58:00.707,1696435080707405248,2,1,0.00000,0
247497241387,1953465969351327905,6899,3032021,5,5,0,4097,27650.00000,5,2023/10/04 18:58:00.708,1696435080708779808,2,1,0.00000,0
247497241389,1953465969351327906,6899,3032021,30,30,0,4097,27500.00000,5,2023/10/04 18:58:00.709,1696435080709590233,2,1,0.00000,0
247497241394,1953465969351327909,6899,3032021,1,1,0,4097,27300.00000,5,2023/10/04 18:58:00.711,1696435080711328135,2,1,0.00000,0
247497241396,1953465969351327910,6899,3032021,1,1,0,4097,25300.00000,5,2023/10/04 18:58:00.711,1696435080711632929,1,1,0.00000,0
247497241399,1953465969351327912,6899,3032021,1,1,0,4097,27400.00000,5,2023/10/04 18:58:00.712,1696435080712075853,2,1,0.00000,0
247497241403,1953465969351327913,6899,3032021,1,1,0,4097,28194.00000,5,2023/10/04 18:58:00.713,1696435080713090712,2,1,0.00000,0
247497241406,1953465969351327914,6899,3032021,10,10,0,4097,26400.00000,5,2023/10/04 18:58:00.713,1696435080713546774,1,1,0.00000,0
247497241408,1953465969351327915,6899,3032021,1,1,0,4097,28498.00000,5,2023/10/04 18:58:00.715,1696435080715019030,2,1,0.00000,0
247497241409,1953465969351327916,6899,3032021,20,20,0,4097,27247.00000,5,2023/10/04 18:58:00.715,1696435080715152371,2,1,0.00000,0
247497241414,1953465969351327918,6899,3032021,1,1,0,4097,27500.00000,5,2023/10/04 18:58:00.716,1696435080716356715,2,1,0.00000,0
